altitude,density,temperature,gasconstant,gamma
0,1.752,0,0,1.4
7352.94,0.58467699,0,0,1.4
14705.9,0.195117672,0,0,1.4
22058.8,0.065115008,0,0,1.4
29411.8,0.021729969,0,0,1.4
36764.7,0.007251763,0,0,1.4
44117.6,0.002420071,0,0,1.4
51470.6,0.000807618,0,0,1.4
58823.5,0.00026952,0,0,1.4
66176.5,8.99433E-05,0,0,1.4
73529.4,3.0016E-05,0,0,1.4
80882.4,1.00168E-05,0,0,1.4
88235.3,3.34284E-06,0,0,1.4
95588.2,1.11558E-06,0,0,1.4
102941,3.72298E-07,0,0,1.4
110294,1.24242E-07,0,0,1.4
117647,4.14617E-08,0,0,1.4
125000,1.38365E-08,0,0,1.4
132353,4.61746E-09,0,0,1.4
139706,1.54092E-09,0,0,1.4
147059,5.14232E-10,0,0,1.4
154412,1.71608E-10,0,0,1.4
161765,5.72684E-11,0,0,1.4
169118,1.91114E-11,0,0,1.4
176471,6.3778E-12,0,0,1.4
183824,2.12838E-12,0,0,1.4
191176,7.10382E-13,0,0,1.4
198529,2.37066E-13,0,0,1.4
205882,7.9113E-14,0,0,1.4
213235,2.64013E-14,0,0,1.4
220588,8.81057E-15,0,0,1.4
227941,2.94024E-15,0,0,1.4
235294,9.81206E-16,0,0,1.4
242647,3.27445E-16,0,0,1.4
250000,1.09274E-16,0,0,1.4
