altitude,density,temperature,gasconstant,gamma
0,0,0,0,0
7352.94,0,0,0,0
14705.9,0,0,0,0
22058.8,0,0,0,0
29411.8,0,0,0,0
36764.7,0,0,0,0
44117.6,0,0,0,0
51470.6,0,0,0,0
58823.5,0,0,0,0
66176.5,0,0,0,0
73529.4,0,0,0,0
80882.4,0,0,0,0
88235.3,0,0,0,0
95588.2,0,0,0,0
102941,0,0,0,0
110294,0,0,0,0
117647,0,0,0,0
125000,0,0,0,0
132353,0,0,0,0
139706,0,0,0,0
147059,0,0,0,0
154412,0,0,0,0
161765,0,0,0,0
169118,0,0,0,0
176471,0,0,0,0
183824,0,0,0,0
191176,0,0,0,0
198529,0,0,0,0
205882,0,0,0,0
213235,0,0,0,0
220588,0,0,0,0
227941,0,0,0,0
235294,0,0,0,0
242647,0,0,0,0
250000,0,0,0,0
